Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
"Migos, Nicki Minaj, Cardi B",MotorSport,11,6,13,2018-02-03
"Bebe Rexha, Florida Georgia Line",Meant To Be,12,12,14,2018-02-03
Sam Smith,Too Good At Goodbyes,13,4,20,2018-02-03
NF,Let You Down,14,14,15,2018-02-03
"Kendrick Lamar, Zacari",Love.,15,11,31,2018-02-03
G,Him & I,16,15,8,2018-02-03
Lil Pump,Gucci Gang,17,3,20,2018-02-03
6ix9ine,Gummo,18,12,11,2018-02-03
Post Malone,I Fall Apart,19,16,18,2018-02-03
"Cardi B, 21 Savage",Bartier Cardi,20,14,5,2018-02-03
Charlie Puth,How Long,21,21,16,2018-02-03
Ed Sheeran,Shape Of You,22,1,55,2018-02-03
Cardi B,Bodak Yellow,23,1,30,2018-02-03
"Gucci Mane, Migos",I Get The Bag,24,11,23,2018-02-03
Portugal. The Man,Feel It Still,25,4,32,2018-02-03
"Selena Gomez, Marshmello",Wolves,26,20,14,2018-02-03
"A$AP Ferg, Nicki Minaj",Plain Jane,27,26,18,2018-02-03
Imagine Dragons,Believer,28,4,51,2018-02-03
"Miguel, Travis Scott",Sky Walker,29,29,18,2018-02-03
"Taylor Swift, Ed Sheeran, Future",End Game,30,18,10,2018-02-03
"Kodak Black, XXXTENTACION",Roll In Peace,31,31,23,2018-02-03
Demi Lovato,Sorry Not Sorry,32,6,29,2018-02-03
Justin Timberlake,Filthy,33,9,3,2018-02-03
"Eminem, Ed Sheeran",River,34,11,6,2018-02-03
Khalid,Young Dumb & Broke,35,18,28,2018-02-03
Thomas Rhett,Marry Me,36,35,8,2018-02-03
Camila Cabello,Never Be The Same,37,30,6,2018-02-03
"MAX, gnash",Lights Down Low,38,38,16,2018-02-03
"Offset, Metro Boomin",Ric Flair Drip,39,39,13,2018-02-03
"N*E*R*D, Rihanna",Lemon,40,40,12,2018-02-03
"Maroon 5, SZA",What Lovers Do,41,9,22,2018-02-03
"Lil Uzi Vert, Nicki Minaj",The Way Life Goes,42,24,22,2018-02-03
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Keke,43,43,2,2018-02-03
"J Balvin, Willy William, Beyonce",Mi Gente,44,3,30,2018-02-03
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,45,40,18,2018-02-03
800,1,46,3,39,2018-02-03
21 Savage,Bank Account,47,12,29,2018-02-03
Charlie Puth,Attention,48,5,40,2018-02-03
Russell Dickerson,Yours,49,49,15,2018-02-03
"French Montana, Swae Lee",Unforgettable,50,3,42,2018-02-03
YoungBoy Never Broke Again,Outside Today,51,51,2,2018-02-03
Migos,Stir Fry,52,52,5,2018-02-03
"Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black",Pills And Automobiles,53,46,20,2018-02-03
"Kendrick Lamar, SZA",All The Stars,54,43,3,2018-02-03
"Macklemore, Kesha",Good Old Days,55,54,14,2018-02-03
Bazzi,Mine,56,,,2018-02-03
"Lil Skies, Landon Cube",Nowadays,57,55,3,2018-02-03
"Famous Dex, A$AP Rocky",Pick It Up,58,58,11,2018-02-03
LANCO,Greatest Love Story,59,45,21,2018-02-03
Old Dominion,Written In The Sand,60,59,10,2018-02-03
YoungBoy Never Broke Again,No Smoke,61,61,8,2018-02-03
Chris Young,Losing Sleep,62,61,18,2018-02-03
Brett Young,Like I Loved You,63,46,18,2018-02-03
Scotty McCreery,Five More Minutes,64,64,8,2018-02-03
The Chainsmokers,Sick Boy,65,,,2018-02-03
"Keala Settle, The Greatest Showman Ensemble",This Is Me,66,58,4,2018-02-03
Kane Brown,Heaven,67,67,5,2018-02-03
"Luis Fonsi, Demi Lovato",Echame La Culpa,68,47,10,2018-02-03
YBN Nahmir,Rubbin Off The Paint,69,46,12,2018-02-03
Walker Hayes,You Broke Up With Me,70,67,14,2018-02-03
Justin Timberlake,Supplies,71,,,2018-02-03
"Kodak Black, Lil Wayne",Codeine Dreaming,72,52,9,2018-02-03
Lil Xan,Betrayed,73,67,11,2018-02-03
"Lil Skies, Landon Cube",Red Roses,74,69,3,2018-02-03
WALK THE MOON,One Foot,75,75,4,2018-02-03
"Ozuna, Cardi B",La Modelo,76,52,5,2018-02-03
"Zac Efron, Zendaya",Rewrite The Stars,77,70,4,2018-02-03
Post Malone,Candy Paint,78,50,14,2018-02-03
Demi Lovato,Tell Me You Love Me,79,53,9,2018-02-03
Eric Church,Round Here Buzz,80,56,18,2018-02-03
Devin Dawson,All On Me,81,81,9,2018-02-03
NF,No Name,82,,,2018-02-03
"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead,83,83,2,2018-02-03
"BTS, Desiigner",MIC Drop,84,28,9,2018-02-03
Chris Stapleton,Broken Halos,85,85,9,2018-02-03
6ix9ine,Kooda,86,50,8,2018-02-03
Kelsea Ballerini,Legends,87,79,8,2018-02-03
Maroon 5,Wait,88,88,2,2018-02-03
"Sofi Tukker, NERVO, The Knocks, Alisa Ueno",Best Friend,89,81,4,2018-02-03
"Quavo, Lil Yachty",Ice Tray,90,74,6,2018-02-03
P!nk,Beautiful Trauma,91,91,5,2018-02-03
Dua Lipa,IDGAF,92,92,2,2018-02-03
"Maluma, Nego do Borel",Corazon,93,87,4,2018-02-03
"Becky G, Bad Bunny",Mayores,94,74,14,2018-02-03
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman",The Greatest Show,95,88,4,2018-02-03
Loren Allred,Never Enough,96,88,4,2018-02-03
Lil Baby,My Dawg,97,71,7,2018-02-03
Blake Shelton,I'll Name The Dogs,98,56,20,2018-02-03
Plies,Rock,99,,,2018-02-03
Keith Urban,Female,100,69,5,2018-02-03
"Camila Cabello, Young Thug",Havana,1,1,3,2018-01-27
"Post Malone, 21 Savage",Rockstar,3,1,18,2018-01-27
"Bruno Mars, Cardi B",Finesse,4,3,3,2018-01-27
Halsey,Bad At Love,5,5,20,2018-01-27
Imagine Dragons,Thunder,6,4,38,2018-01-27
G,No Limit,7,4,19,2018-01-27
Dua Lipa,New Rules,8,8,25,2018-01-27
Sam Smith,Too Good At Goodbyes,9,4,19,2018-01-27
"Migos, Nicki Minaj, Cardi B",MotorSport,10,6,12,2018-01-27
Lil Pump,Gucci Gang,11,3,19,2018-01-27
"Kendrick Lamar, Zacari",Love.,12,11,30,2018-01-27
6ix9ine,Gummo,13,12,10,2018-01-27
NF,Let You Down,14,14,14,2018-01-27
G,Him & I,15,15,7,2018-01-27
"Cardi B, 21 Savage",Bartier Cardi,16,14,4,2018-01-27
"Bebe Rexha, Florida Georgia Line",Meant To Be,17,17,13,2018-01-27
"Taylor Swift, Ed Sheeran, Future",End Game,18,18,9,2018-01-27
Cardi B,Bodak Yellow,19,1,29,2018-01-27
Post Malone,I Fall Apart,20,16,17,2018-01-27
Ed Sheeran,Shape Of You,21,1,54,2018-01-27
Charlie Puth,How Long,22,22,15,2018-01-27
Portugal. The Man,Feel It Still,23,4,31,2018-01-27
"Gucci Mane, Migos",I Get The Bag,24,11,22,2018-01-27
"Selena Gomez, Marshmello",Wolves,25,20,13,2018-01-27
Imagine Dragons,Believer,26,4,50,2018-01-27
"A$AP Ferg, Nicki Minaj",Plain Jane,27,26,17,2018-01-27
Demi Lovato,Sorry Not Sorry,28,6,28,2018-01-27
Justin Timberlake,Filthy,29,9,2,2018-01-27
Camila Cabello,Never Be The Same,30,30,5,2018-01-27
"Maroon 5, SZA",What Lovers Do,31,9,21,2018-01-27
Khalid,Young Dumb & Broke,32,18,27,2018-01-27
"Miguel, Travis Scott",Sky Walker,33,31,17,2018-01-27
"Eminem, Ed Sheeran",River,34,11,5,2018-01-27
Thomas Rhett,Marry Me,35,35,7,2018-01-27
"Kodak Black, XXXTENTACION",Roll In Peace,36,36,22,2018-01-27
"Lil Uzi Vert, Nicki Minaj",The Way Life Goes,37,24,21,2018-01-27
21 Savage,Bank Account,38,12,28,2018-01-27
"J Balvin, Willy William, Beyonce",Mi Gente,39,3,29,2018-01-27
"N*E*R*D, Rihanna",Lemon,40,40,11,2018-01-27
"MAX, gnash",Lights Down Low,41,41,15,2018-01-27
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,42,40,17,2018-01-27
"Offset, Metro Boomin",Ric Flair Drip,43,43,12,2018-01-27
Charlie Puth,Attention,44,5,39,2018-01-27
800,1,45,3,38,2018-01-27
SZA,The Weekend,46,29,25,2018-01-27
"Carrie Underwood, Ludacris",The Champion,47,,,2018-01-27
"French Montana, Swae Lee",Unforgettable,48,3,41,2018-01-27
Russell Dickerson,Yours,49,49,14,2018-01-27
"Marshmello, Khalid",Silence,50,30,23,2018-01-27
"Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black",Pills And Automobiles,51,46,19,2018-01-27
Brett Young,Like I Loved You,52,46,17,2018-01-27
"Kendrick Lamar, SZA",All The Stars,53,43,2,2018-01-27
"Macklemore, Kesha",Good Old Days,54,54,13,2018-01-27
"Lil Skies, Landon Cube",Nowadays,55,55,2,2018-01-27
Eric Church,Round Here Buzz,56,56,17,2018-01-27
"Luis Fonsi, Demi Lovato",Echame La Culpa,57,47,9,2018-01-27
"Keala Settle, The Greatest Showman Ensemble",This Is Me,58,58,3,2018-01-27
Old Dominion,Written In The Sand,59,59,9,2018-01-27
Migos,Stir Fry,60,60,4,2018-01-27
Chris Young,Losing Sleep,61,61,17,2018-01-27
YBN Nahmir,Rubbin Off The Paint,62,46,11,2018-01-27
"Kodak Black, Lil Wayne",Codeine Dreaming,63,52,8,2018-01-27
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",Keke,64,,,2018-01-27
LANCO,Greatest Love Story,65,45,20,2018-01-27
"Famous Dex, A$AP Rocky",Pick It Up,66,66,10,2018-01-27
"Ozuna, Cardi B",La Modelo,67,52,4,2018-01-27
Walker Hayes,You Broke Up With Me,68,67,13,2018-01-27
"Lil Skies, Landon Cube",Red Roses,69,69,2,2018-01-27
"Zac Efron, Zendaya",Rewrite The Stars,70,70,3,2018-01-27
YoungBoy Never Broke Again,Outside Today,71,,,2018-01-27
Demi Lovato,Tell Me You Love Me,72,53,8,2018-01-27
6ix9ine,Kooda,73,50,7,2018-01-27
Post Malone,Candy Paint,74,50,13,2018-01-27
Lil Xan,Betrayed,75,67,10,2018-01-27
Kane Brown,Heaven,76,70,4,2018-01-27
WALK THE MOON,One Foot,77,77,3,2018-01-27
YoungBoy Never Broke Again,No Smoke,78,73,7,2018-01-27
"BTS, Desiigner",MIC Drop,79,28,8,2018-01-27
Troye Sivan,My My My!,80,,,2018-01-27
"Sofi Tukker, NERVO, The Knocks, Alisa Ueno",Best Friend,81,81,3,2018-01-27
Blake Shelton,I'll Name The Dogs,82,56,19,2018-01-27
Scotty McCreery,Five More Minutes,83,77,7,2018-01-27
Dan + Shay,Tequila,84,,,2018-01-27
Kelsea Ballerini,Legends,85,79,7,2018-01-27
"Quavo, Lil Yachty",Ice Tray,86,74,5,2018-01-27
"Maluma, Nego do Borel",Corazon,87,87,3,2018-01-27
Devin Dawson,All On Me,88,81,8,2018-01-27
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman",The Greatest Show,89,88,3,2018-01-27
Lil Baby,My Dawg,90,71,6,2018-01-27
"Jay Rock, Kendrick Lamar, Future, James Blake",King's Dead,91,,,2018-01-27
Dua Lipa,IDGAF,92,,,2018-01-27
"Becky G, Bad Bunny",Mayores,93,74,13,2018-01-27
Chris Stapleton,Broken Halos,94,90,8,2018-01-27
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",Krippy Kush,95,75,6,2018-01-27
Taylor Swift,...Ready For It?,96,4,20,2018-01-27
Loren Allred,Never Enough,97,88,3,2018-01-27
"Enrique Iglesias, Bad Bunny",El Bano,98,,,2018-01-27
P!nk,Beautiful Trauma,99,95,4,2018-01-27
Keith Urban,Female,100,69,4,2018-01-27
Ed Sheeran,Perfect,1,1,0,2018-01-20
"Bruno Mars, Cardi B",Finesse,3,3,2,2018-01-20
"Post Malone, 21 Savage",Rockstar,4,1,17,2018-01-20
G,No Limit,5,4,18,2018-01-20
Imagine Dragons,Thunder,6,4,37,2018-01-20
Halsey,Bad At Love,7,6,19,2018-01-20
Sam Smith,Too Good At Goodbyes,8,4,18,2018-01-20
Justin Timberlake,Filthy,9,,,2018-01-20
"Migos, Nicki Minaj, Cardi B",MotorSport,10,6,11,2018-01-20
Dua Lipa,New Rules,11,11,24,2018-01-20
Lil Pump,Gucci Gang,12,3,18,2018-01-20
"Kendrick Lamar, Zacari",Love.,13,11,29,2018-01-20
"Cardi B, 21 Savage",Bartier Cardi,14,14,3,2018-01-20
NF,Let You Down,15,15,13,2018-01-20
G,Him & I,16,15,6,2018-01-20
Cardi B,Bodak Yellow,17,1,28,2018-01-20
"Bebe Rexha, Florida Georgia Line",Meant To Be,18,18,12,2018-01-20
6ix9ine,Gummo,19,12,9,2018-01-20
Portugal. The Man,Feel It Still,20,4,30,2018-01-20
Demi Lovato,Sorry Not Sorry,21,6,27,2018-01-20
Ed Sheeran,Shape Of You,22,1,53,2018-01-20
Charlie Puth,How Long,23,23,14,2018-01-20
"Selena Gomez, Marshmello",Wolves,24,20,12,2018-01-20
"Gucci Mane, Migos",I Get The Bag,25,11,21,2018-01-20
Post Malone,I Fall Apart,26,16,16,2018-01-20
"Maroon 5, SZA",What Lovers Do,27,9,20,2018-01-20
Khalid,Young Dumb & Broke,28,18,26,2018-01-20
"A$AP Ferg, Nicki Minaj",Plain Jane,29,26,16,2018-01-20
Imagine Dragons,Believer,30,4,49,2018-01-20
"Miguel, Travis Scott",Sky Walker,31,31,16,2018-01-20
"Eminem, Ed Sheeran",River,32,11,4,2018-01-20
"Lil Uzi Vert, Nicki Minaj",The Way Life Goes,33,24,20,2018-01-20
"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito,34,1,52,2018-01-20
"J Balvin, Willy William, Beyonce",Mi Gente,35,3,28,2018-01-20
"Taylor Swift, Ed Sheeran, Future",End Game,36,36,8,2018-01-20
21 Savage,Bank Account,37,12,27,2018-01-20
Bruno Mars,That's What I Like,38,1,52,2018-01-20
Thomas Rhett,Marry Me,39,39,6,2018-01-20
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,40,40,16,2018-01-20
Charlie Puth,Attention,41,5,38,2018-01-20
SZA,The Weekend,42,29,24,2018-01-20
"Kendrick Lamar, SZA",All The Stars,43,,,2018-01-20
800,1,44,3,37,2018-01-20
"Kodak Black, XXXTENTACION",Roll In Peace,45,45,21,2018-01-20
"Marshmello, Khalid",Silence,46,30,22,2018-01-20
"MAX, gnash",Lights Down Low,47,47,14,2018-01-20
"Offset, Metro Boomin",Ric Flair Drip,48,44,11,2018-01-20
"French Montana, Swae Lee",Unforgettable,49,3,40,2018-01-20
"N*E*R*D, Rihanna",Lemon,50,46,10,2018-01-20
Brett Young,Like I Loved You,51,46,16,2018-01-20
Russell Dickerson,Yours,52,52,13,2018-01-20
"Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black",Pills And Automobiles,53,46,18,2018-01-20
"Macklemore, Kesha",Good Old Days,54,54,12,2018-01-20
Demi Lovato,Tell Me You Love Me,55,53,7,2018-01-20
Maren Morris,I Could Use A Love Song,56,56,21,2018-01-20
Eric Church,Round Here Buzz,57,57,16,2018-01-20
"Kodak Black, Lil Wayne",Codeine Dreaming,58,52,7,2018-01-20
"Ozuna, Cardi B",La Modelo,59,52,3,2018-01-20
"Luis Fonsi, Demi Lovato",Echame La Culpa,60,47,8,2018-01-20
LANCO,Greatest Love Story,61,45,19,2018-01-20
YBN Nahmir,Rubbin Off The Paint,62,46,10,2018-01-20
Chris Young,Losing Sleep,63,63,16,2018-01-20
"Keala Settle, The Greatest Showman Ensemble",This Is Me,64,64,2,2018-01-20
Camila Cabello,Never Be The Same,65,61,4,2018-01-20
Blake Shelton,I'll Name The Dogs,66,56,18,2018-01-20
Post Malone,Candy Paint,67,50,12,2018-01-20
Walker Hayes,You Broke Up With Me,68,67,12,2018-01-20
Old Dominion,Written In The Sand,69,69,8,2018-01-20
Kane Brown,Heaven,70,70,3,2018-01-20
"Famous Dex, A$AP Rocky",Pick It Up,71,71,9,2018-01-20
Migos,Stir Fry,72,72,3,2018-01-20
6ix9ine,Kooda,73,50,6,2018-01-20
"BTS, Desiigner",MIC Drop,74,28,7,2018-01-20
YoungBoy Never Broke Again,No Smoke,75,73,6,2018-01-20
Lil Xan,Betrayed,76,67,9,2018-01-20
Scotty McCreery,Five More Minutes,77,77,6,2018-01-20
"Zac Efron, Zendaya",Rewrite The Stars,78,78,2,2018-01-20
"Quavo, Lil Yachty",Ice Tray,79,74,4,2018-01-20
Taylor Swift,...Ready For It?,80,4,19,2018-01-20
Devin Dawson,All On Me,81,81,7,2018-01-20
"Liam Payne, Rita Ora",For You,82,,,2018-01-20
Kelsea Ballerini,Legends,83,79,6,2018-01-20
WALK THE MOON,One Foot,84,80,2,2018-01-20
"Lil Skies, Landon Cube",Nowadays,85,,,2018-01-20
"Sofi Tukker, NERVO, The Knocks, Alisa Ueno",Best Friend,86,86,2,2018-01-20
Lil Baby,My Dawg,87,71,5,2018-01-20
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman",The Greatest Show,88,88,2,2018-01-20
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",Krippy Kush,89,75,5,2018-01-20
"Maluma, Nego do Borel",Corazon,90,90,2,2018-01-20
Chris Stapleton,Broken Halos,91,90,7,2018-01-20
"Clean Bandit, Julia Michaels",I Miss You,92,,,2018-01-20
Niall Horan,Too Much To Ask,93,66,12,2018-01-20
"Becky G, Bad Bunny",Mayores,94,74,12,2018-01-20
P!nk,Beautiful Trauma,95,95,3,2018-01-20
Keith Urban,Female,96,69,3,2018-01-20
"Machine Gun Kelly,, Ambassadors, Bebe Rexha",Home,97,90,5,2018-01-20
"Lil Skies, Landon Cube",Red Roses,98,,,2018-01-20
Loren Allred,Never Enough,99,88,2,2018-01-20
Yo Gotti,Juice,100,90,6,2018-01-20
Ed Sheeran,Perfect,1,1,9,2018-01-13
"Post Malone, 21 Savage",Rockstar,3,1,16,2018-01-13
Imagine Dragons,Thunder,4,4,36,2018-01-13
G,No Limit,5,4,17,2018-01-13
Halsey,Bad At Love,6,6,18,2018-01-13
Sam Smith,Too Good At Goodbyes,7,4,17,2018-01-13
"Migos, Nicki Minaj, Cardi B",MotorSport,8,6,10,2018-01-13
Lil Pump,Gucci Gang,9,3,17,2018-01-13
Cardi B,Bodak Yellow,10,1,27,2018-01-13
Dua Lipa,New Rules,11,11,23,2018-01-13
Portugal. The Man,Feel It Still,12,4,29,2018-01-13
Ed Sheeran,Shape Of You,13,1,52,2018-01-13
"Kendrick Lamar, Zacari",Love.,14,11,28,2018-01-13
Demi Lovato,Sorry Not Sorry,15,6,26,2018-01-13
Imagine Dragons,Believer,16,4,48,2018-01-13
G,Him & I,17,15,5,2018-01-13
NF,Let You Down,18,16,12,2018-01-13
"Cardi B, 21 Savage",Bartier Cardi,19,14,2,2018-01-13
6ix9ine,Gummo,20,12,8,2018-01-13
"Maroon 5, SZA",What Lovers Do,21,9,19,2018-01-13
Khalid,Young Dumb & Broke,22,18,25,2018-01-13
Post Malone,I Fall Apart,23,16,15,2018-01-13
"Bebe Rexha, Florida Georgia Line",Meant To Be,24,24,11,2018-01-13
"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito,25,1,51,2018-01-13
"Gucci Mane, Migos",I Get The Bag,26,11,20,2018-01-13
Charlie Puth,How Long,27,26,13,2018-01-13
"Selena Gomez, Marshmello",Wolves,28,20,11,2018-01-13
21 Savage,Bank Account,29,12,26,2018-01-13
"J Balvin, Willy William, Beyonce",Mi Gente,30,3,27,2018-01-13
"A$AP Ferg, Nicki Minaj",Plain Jane,31,26,15,2018-01-13
Bruno Mars,That's What I Like,32,1,51,2018-01-13
800,1,33,3,36,2018-01-13
Charlie Puth,Attention,34,5,37,2018-01-13
"Bruno Mars, Cardi B",Finesse,35,,,2018-01-13
"Lil Uzi Vert, Nicki Minaj",The Way Life Goes,36,24,19,2018-01-13
SZA,The Weekend,37,29,23,2018-01-13
"Miguel, Travis Scott",Sky Walker,38,35,15,2018-01-13
"Taylor Swift, Ed Sheeran, Future",End Game,39,39,7,2018-01-13
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,40,40,15,2018-01-13
"Marshmello, Khalid",Silence,41,30,21,2018-01-13
"French Montana, Swae Lee",Unforgettable,42,3,39,2018-01-13
P!nk,What About Us,43,13,22,2018-01-13
Thomas Rhett,Marry Me,44,44,5,2018-01-13
"Eminem, Ed Sheeran",River,45,11,3,2018-01-13
Brett Young,Like I Loved You,46,46,15,2018-01-13
"Kodak Black, XXXTENTACION",Roll In Peace,47,47,20,2018-01-13
"N*E*R*D, Rihanna",Lemon,48,46,9,2018-01-13
"Offset, Metro Boomin",Ric Flair Drip,49,44,10,2018-01-13
"MAX, gnash",Lights Down Low,50,50,13,2018-01-13
"Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black",Pills And Automobiles,51,46,17,2018-01-13
Russell Dickerson,Yours,52,52,12,2018-01-13
LANCO,Greatest Love Story,53,45,18,2018-01-13
"Macklemore, Kesha",Good Old Days,54,54,11,2018-01-13
Taylor Swift,Look What You Made Me Do,55,1,20,2018-01-13
Blake Shelton,I'll Name The Dogs,56,56,17,2018-01-13
Eric Church,Round Here Buzz,57,57,15,2018-01-13
Taylor Swift,...Ready For It?,58,4,18,2018-01-13
Post Malone,Candy Paint,59,50,11,2018-01-13
YBN Nahmir,Rubbin Off The Paint,60,46,9,2018-01-13
"Ozuna, Cardi B",La Modelo,61,52,2,2018-01-13
Maren Morris,I Could Use A Love Song,62,62,20,2018-01-13
Chris Young,Losing Sleep,63,63,15,2018-01-13
"Luis Fonsi, Demi Lovato",Echame La Culpa,64,47,7,2018-01-13
"Kodak Black, Lil Wayne",Codeine Dreaming,65,52,6,2018-01-13
"BTS, Desiigner",MIC Drop,66,28,6,2018-01-13
Walker Hayes,You Broke Up With Me,67,67,11,2018-01-13
6ix9ine,Kooda,68,50,5,2018-01-13
Luke Bryan,Light It Up,69,57,19,2018-01-13
Old Dominion,Written In The Sand,70,70,7,2018-01-13
Camila Cabello,Never Be The Same,71,61,3,2018-01-13
Demi Lovato,Tell Me You Love Me,72,53,6,2018-01-13
YoungBoy Never Broke Again,No Smoke,73,73,5,2018-01-13
"Quavo, Lil Yachty",Ice Tray,74,74,3,2018-01-13
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",Krippy Kush,75,75,4,2018-01-13
Lil Xan,Betrayed,76,67,8,2018-01-13
"Famous Dex, A$AP Rocky",Pick It Up,77,73,8,2018-01-13
Scotty McCreery,Five More Minutes,78,78,5,2018-01-13
Kelsea Ballerini,Legends,79,79,5,2018-01-13
WALK THE MOON,One Foot,80,,,2018-01-13
"Becky G, Bad Bunny",Mayores,81,74,11,2018-01-13
Kane Brown,Heaven,82,72,2,2018-01-13
"Keala Settle, The Greatest Showman Ensemble",This Is Me,83,,,2018-01-13
Lil Baby,My Dawg,84,71,4,2018-01-13
"Zac Efron, Zendaya",Rewrite The Stars,85,,,2018-01-13
Niall Horan,Too Much To Ask,86,66,11,2018-01-13
Devin Dawson,All On Me,87,87,6,2018-01-13
Loren Allred,Never Enough,88,,,2018-01-13
Migos,Stir Fry,89,89,2,2018-01-13
Yo Gotti,Juice,90,90,5,2018-01-13
Chris Stapleton,Broken Halos,91,90,6,2018-01-13
"Maluma, Nego do Borel",Corazon,92,,,2018-01-13
Keith Urban,Female,93,69,2,2018-01-13
"Zayn, Sia",Dusk Till Dawn,94,44,17,2018-01-13
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman",The Greatest Show,95,,,2018-01-13
Tank,When We,96,86,6,2018-01-13
"NAV, Lil Uzi Vert",Wanted You,97,64,7,2018-01-13
"XXXTENTACION, Trippie Redd",F**k Love,98,41,19,2018-01-13
"Machine Gun Kelly,, Ambassadors, Bebe Rexha",Home,99,90,4,2018-01-13
"Sofi Tukker, NERVO, The Knocks, Alisa Ueno",Best Friend,100,,,2018-01-13
Ed Sheeran,Perfect,1,1,8,2018-01-06
"Camila Cabello, Young Thug",Havana,3,2,20,2018-01-06
G,No Limit,4,4,16,2018-01-06
Imagine Dragons,Thunder,5,4,35,2018-01-06
Lil Pump,Gucci Gang,6,3,16,2018-01-06
"Migos, Nicki Minaj, Cardi B",MotorSport,7,6,9,2018-01-06
Sam Smith,Too Good At Goodbyes,8,4,16,2018-01-06
Halsey,Bad At Love,9,8,17,2018-01-06
Cardi B,Bodak Yellow,10,1,26,2018-01-06
"Kendrick Lamar, Zacari",Love.,11,11,27,2018-01-06
Dua Lipa,New Rules,12,12,22,2018-01-06
Mariah Carey,All I Want For Christmas Is You,13,9,24,2018-01-06
"Cardi B, 21 Savage",Bartier Cardi,14,,,2018-01-06
6ix9ine,Gummo,15,12,7,2018-01-06
Post Malone,I Fall Apart,16,16,14,2018-01-06
NF,Let You Down,17,16,11,2018-01-06
Khalid,Young Dumb & Broke,18,18,24,2018-01-06
Ed Sheeran,Shape Of You,19,1,51,2018-01-06
Demi Lovato,Sorry Not Sorry,20,6,25,2018-01-06
"Maroon 5, SZA",What Lovers Do,21,9,18,2018-01-06
"Gucci Mane, Migos",I Get The Bag,22,11,19,2018-01-06
Portugal. The Man,Feel It Still,23,4,28,2018-01-06
G,Him & I,24,15,4,2018-01-06
Imagine Dragons,Believer,25,4,47,2018-01-06
"Bebe Rexha, Florida Georgia Line",Meant To Be,26,26,10,2018-01-06
Charlie Puth,How Long,27,26,12,2018-01-06
21 Savage,Bank Account,28,12,25,2018-01-06
"Selena Gomez, Marshmello",Wolves,29,20,10,2018-01-06
"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito,30,1,50,2018-01-06
"A$AP Ferg, Nicki Minaj",Plain Jane,31,26,14,2018-01-06
"J Balvin, Willy William, Beyonce",Mi Gente,32,3,26,2018-01-06
SZA,The Weekend,33,29,22,2018-01-06
800,1,34,3,35,2018-01-06
"Lil Uzi Vert, Nicki Minaj",The Way Life Goes,35,24,18,2018-01-06
Brenda Lee,Rockin' Around The Christmas Tree,36,14,22,2018-01-06
Bruno Mars,That's What I Like,37,1,50,2018-01-06
Andy Williams,It's The Most Wonderful Time Of The Year,38,32,5,2018-01-06
Charlie Puth,Attention,39,5,36,2018-01-06
"Taylor Swift, Ed Sheeran, Future",End Game,40,39,6,2018-01-06
"Miguel, Travis Scott",Sky Walker,41,35,14,2018-01-06
Nat King Cole,The Christmas Song,42,37,12,2018-01-06
"Eminem, Ed Sheeran",River,43,11,2,2018-01-06
"Marshmello, Khalid",Silence,44,30,20,2018-01-06
Thomas Rhett,Marry Me,45,45,4,2018-01-06
Burl Ives,A Holly Jolly Christmas,46,38,5,2018-01-06
"French Montana, Swae Lee",Unforgettable,47,3,38,2018-01-06
P!nk,What About Us,48,13,21,2018-01-06
"N*E*R*D, Rihanna",Lemon,49,46,8,2018-01-06
Post Malone,Candy Paint,50,50,10,2018-01-06
"Kodak Black, XXXTENTACION",Roll In Peace,51,51,19,2018-01-06
"Ozuna, Cardi B",La Modelo,52,,,2018-01-06
"Offset, Metro Boomin",Ric Flair Drip,53,44,9,2018-01-06
"MAX, gnash",Lights Down Low,54,54,12,2018-01-06
"Hailee Steinfeld, Alesso, Florida Georgia Line, Watt",Let Me Go,55,52,14,2018-01-06
Brett Young,Like I Loved You,56,54,14,2018-01-06
