Artists,Name,Peak position,Week,Weekly rank,Weeks on chart
Jake Owen,I Was Jack,69,2018-07-14,69,6
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,70,2018-07-14,70,3
Halsey Featuring Big Sean & Stefflon Don,Alone,69,2018-07-14,71,12
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-07-14,72,16
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,66,2018-07-14,73,11
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-07-14,74,10
Thomas Rhett,Life Changes,75,2018-07-14,75,2
Morgan Evans,Kiss Somebody,,2018-07-14,76,
J. Cole,KOD,10,2018-07-14,77,11
Charlie Puth Featuring Kehlani,Done For Me,53,2018-07-14,78,9
Chris Lane Featuring Tori Kelly,Take Back Home Girl,79,2018-07-14,79,5
Keith Urban Featuring Julia Michaels,Coming Home,80,2018-07-14,80,2
Nicki Minaj Featuring Ariana Grande,Bed,43,2018-07-14,81,3
Li,Chun,10,2018-07-14,82,13
Kanye West,All Mine,11,2018-07-14,83,5
Backstreet Boys,Don't Go Breaking My Heart,84,2018-07-14,84,2
Queen Naija,Medicine,45,2018-07-14,85,5
Luke Bryan,"Sunrise, Sunburn, Sunset",,2018-07-14,86,
Carrie Underwood,Cry Pretty,48,2018-07-14,87,4
Lil Pump,Esskeetit,24,2018-07-14,88,12
Becky G + Natti Natasha,Sin Pijama,83,2018-07-14,89,4
The Weeknd,Call Out My Name,4,2018-07-14,90,14
XXXTENTACION,Everybody Dies In Their Nightmares,42,2018-07-14,91,7
Kanye West,Yikes,8,2018-07-14,92,5
Old Dominion,Hotel Key,,2018-07-14,93,
Sam Hunt,Downtown's Dead,94,2018-07-14,94,2
Bad Wolves,Zombie,54,2018-07-14,95,17
Famous Dex,Japan,28,2018-07-14,96,15
Reik Featuring Ozuna & Wisin,Me Niego,77,2018-07-14,97,3
XXXTENTACION,The Remedy For A Broke Heart,55,2018-07-14,98,5
Alessia Cara,Growing Pains,,2018-07-14,99,
Blake Shelton,I Lived It,63,2018-07-14,100,18
"Cardi B, Bad Bunny & J Balvin",I Like It,1,2018-07-07,1,2
Juice WRLD,Lucid Dreams,3,2018-07-07,3,7
Maroon 5 Featuring Cardi B,Girls Like You,4,2018-07-07,4,5
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-07-07,5,18
Drake,Nice For What,1,2018-07-07,6,12
Ella Mai,Boo'd Up,6,2018-07-07,7,13
Ariana Grande,No Tears Left To Cry,3,2018-07-07,8,10
Drake,God's Plan,1,2018-07-07,9,23
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-07-07,10,36
Lil Baby & Drake,Yes Indeed,6,2018-07-07,11,7
"Zedd, Maren Morris & Grey",The Middle,5,2018-07-07,12,22
XXXTENTACION,Moonlight,13,2018-07-07,13,11
Post Malone,Better Now,7,2018-07-07,14,9
Rich The Kid,Plug Walk,13,2018-07-07,15,20
Bazzi,Mine,11,2018-07-07,16,23
Ed Sheeran,Perfect,1,2018-07-07,17,44
XXXTENTACION,Changes,18,2018-07-07,18,11
The Carters,Apeshit,13,2018-07-07,19,2
Taylor Swift,Delicate,20,2018-07-07,20,16
Dan + Shay,Tequila,21,2018-07-07,21,16
Marshmello & Anne,Friends,11,2018-07-07,22,20
Shawn Mendes,In My Blood,11,2018-07-07,23,15
Childish Gambino,This Is America,1,2018-07-07,24,8
XXXTENTACION,Jocelyn Flores,19,2018-07-07,25,18
Drake,I'm Upset,15,2018-07-07,26,5
BlocBoy JB Featuring Drake,Look Alive,5,2018-07-07,27,20
Camila Cabello,Never Be The Same,6,2018-07-07,28,28
Migos Featuring Drake,Walk It Talk It,10,2018-07-07,29,22
Tyga Featuring Offset,Taste,30,2018-07-07,30,5
Imagine Dragons,Whatever It Takes,12,2018-07-07,31,22
Cardi B,Be Careful,11,2018-07-07,32,13
Post Malone Featuring 21 Savage,Rockstar,1,2018-07-07,33,41
XXXTENTACION Featuring Trippie Redd,fuck Love,28,2018-07-07,34,21
Selena Gomez,Back To You,22,2018-07-07,35,7
Calvin Harris & Dua Lipa,One Kiss,30,2018-07-07,36,12
Khalid & Normani,Love Lies,34,2018-07-07,37,19
Kane Brown,Heaven,15,2018-07-07,38,27
Camila Cabello Featuring Young Thug,Havana,1,2018-07-07,39,46
Dua Lipa,New Rules,6,2018-07-07,40,48
Lauv,I Like Me Better,41,2018-07-07,41,20
Juice WRLD,All Girls Are The Same,41,2018-07-07,42,7
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-07-07,43,10
Kenny Chesney,Get Along,44,2018-07-07,44,12
Florida Georgia Line,Simple,45,2018-07-07,45,4
XXXTENTACION,Everybody Dies In Their Nightmares,42,2018-07-07,46,6
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-07-07,47,15
Brett Young,Mercy,48,2018-07-07,48,8
Luke Combs,One Number Away,34,2018-07-07,49,15
Maroon 5,Wait,24,2018-07-07,50,24
Foster The People,Sit Next To Me,51,2018-07-07,51,15
5 Seconds Of Summer,Youngblood,49,2018-07-07,52,4
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-07-07,53,14
Kanye West,All Mine,11,2018-07-07,54,4
XXXTENTACION,The Remedy For A Broke Heart,55,2018-07-07,55,4
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,56,2018-07-07,56,4
Daddy Yankee,Dura,43,2018-07-07,57,21
Demi Lovato,Sober,,2018-07-07,58,
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-07-07,59,9
"2 Chainz, Drake & Quavo",Bigger > You,53,2018-07-07,60,2
Panic! At The Disco,Say Amen,60,2018-07-07,61,3
Li,Chun,10,2018-07-07,62,12
Famous Dex,Japan,28,2018-07-07,63,14
Nicky Jam x J Balvin,X,41,2018-07-07,64,17
Juice WRLD,Legends,,2018-07-07,65,
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,66,2018-07-07,66,10
Nicki Minaj Featuring Ariana Grande,Bed,43,2018-07-07,67,2
J. Cole,KOD,10,2018-07-07,68,10
Halsey Featuring Big Sean & Stefflon Don,Alone,69,2018-07-07,69,11
XXXTENTACION,Hope,70,2018-07-07,70,2
Lil Pump,Esskeetit,24,2018-07-07,71,11
6ix9ine Featuring DJ SPINKING,TATI,46,2018-07-07,72,5
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,73,2018-07-07,73,2
Charlie Puth Featuring Kehlani,Done For Me,53,2018-07-07,74,8
Jake Owen,I Was Jack,75,2018-07-07,75,5
BTS,Fake Love,10,2018-07-07,76,6
Kanye West,Yikes,8,2018-07-07,77,4
The Weeknd,Call Out My Name,4,2018-07-07,78,13
Lil Skies Featuring Yung Pinch,I Know You,79,2018-07-07,79,3
XXXTENTACION,Numb,80,2018-07-07,80,3
Queen Naija,Medicine,45,2018-07-07,81,4
A$AP Rocky Featuring Skepta,Praise The Lord,45,2018-07-07,82,5
Becky G + Natti Natasha,Sin Pijama,83,2018-07-07,83,3
Panic! At The Disco,High Hopes,84,2018-07-07,84,2
Blake Shelton,I Lived It,63,2018-07-07,85,17
Rae Sremmurd & Juicy J,Powerglide,28,2018-07-07,86,17
Billie Eilish & Khalid,Lovely,78,2018-07-07,87,5
Keith Urban Featuring Julia Michaels,Coming Home,,2018-07-07,88,
Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,74,2018-07-07,89,6
Bad Wolves,Zombie,54,2018-07-07,90,16
YoungBoy Never Broke Again,Overdose,42,2018-07-07,91,9
Thomas Rhett,Life Changes,,2018-07-07,92,
Dierks Bentley,"Woman, Amen",53,2018-07-07,93,12
Kygo & Imagine Dragons,Born To Be Yours,74,2018-07-07,94,2
Ariana Grande Featuring Nicki Minaj,The Light Is Coming,,2018-07-07,95,
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-07-07,96,10
Clean Bandit Featuring Demi Lovato,Solo,,2018-07-07,97,
Chris Lane Featuring Tori Kelly,Take Back Home Girl,92,2018-07-07,98,4
The Carters,Boss,77,2018-07-07,99,2
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,74,2018-07-07,100,16
XXXTENTACION,Sad!,1,2018-06-30,1,6
Drake,Nice For What,1,2018-06-30,3,11
Juice WRLD,Lucid Dreams,4,2018-06-30,4,6
Maroon 5 Featuring Cardi B,Girls Like You,4,2018-06-30,5,4
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-06-30,6,17
Ella Mai,Boo'd Up,6,2018-06-30,7,12
Drake,God's Plan,1,2018-06-30,8,22
Ariana Grande,No Tears Left To Cry,3,2018-06-30,9,9
"Zedd, Maren Morris & Grey",The Middle,5,2018-06-30,10,21
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-06-30,11,35
Lil Baby & Drake,Yes Indeed,6,2018-06-30,12,6
The Carters,Apeshit,,2018-06-30,13,
Marshmello & Anne,Friends,11,2018-06-30,14,19
Drake,I'm Upset,15,2018-06-30,15,4
XXXTENTACION,Moonlight,16,2018-06-30,16,10
Childish Gambino,This Is America,1,2018-06-30,17,7
XXXTENTACION,Changes,18,2018-06-30,18,10
XXXTENTACION,Jocelyn Flores,19,2018-06-30,19,17
Bazzi,Mine,11,2018-06-30,20,22
Ed Sheeran,Perfect,1,2018-06-30,21,43
Shawn Mendes,In My Blood,11,2018-06-30,22,14
Post Malone,Better Now,7,2018-06-30,23,8
Migos Featuring Drake,Walk It Talk It,10,2018-06-30,24,21
BlocBoy JB Featuring Drake,Look Alive,5,2018-06-30,25,19
Camila Cabello,Never Be The Same,6,2018-06-30,26,27
Taylor Swift,Delicate,25,2018-06-30,27,15
XXXTENTACION Featuring Trippie Redd,fuck Love,28,2018-06-30,28,20
Cardi B,Be Careful,11,2018-06-30,29,12
Imagine Dragons,Whatever It Takes,12,2018-06-30,30,21
Post Malone Featuring 21 Savage,Rockstar,1,2018-06-30,31,40
Rich The Kid,Plug Walk,13,2018-06-30,32,19
Selena Gomez,Back To You,22,2018-06-30,33,6
Dan + Shay,Tequila,32,2018-06-30,34,15
Kane Brown,Heaven,15,2018-06-30,35,26
Khalid & Normani,Love Lies,34,2018-06-30,36,18
Calvin Harris & Dua Lipa,One Kiss,30,2018-06-30,37,11
Tyga Featuring Offset,Taste,38,2018-06-30,38,4
Camila Cabello Featuring Young Thug,Havana,1,2018-06-30,39,45
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-06-30,40,9
Dua Lipa,New Rules,6,2018-06-30,41,47
XXXTENTACION,Everybody Dies In Their Nightmares,42,2018-06-30,42,5
Nicki Minaj Featuring Ariana Grande,Bed,,2018-06-30,43,
Maroon 5,Wait,24,2018-06-30,44,23
Juice WRLD,All Girls Are The Same,41,2018-06-30,45,6
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-06-30,46,14
Lauv,I Like Me Better,46,2018-06-30,47,19
Kanye West,All Mine,11,2018-06-30,48,3
5 Seconds Of Summer,Youngblood,49,2018-06-30,49,3
Kenny Chesney,Get Along,48,2018-06-30,50,11
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-06-30,51,13
Li,Chun,10,2018-06-30,52,11
"2 Chainz, Drake & Quavo",Bigger > You,,2018-06-30,53,
Florida Georgia Line,Simple,54,2018-06-30,54,3
DU DDU,DDU,,2018-06-30,55,
Dua Lipa,IDGAF,49,2018-06-30,56,23
Luke Combs,One Number Away,34,2018-06-30,57,14
XXXTENTACION,The Remedy For A Broke Heart,58,2018-06-30,58,3
Foster The People,Sit Next To Me,56,2018-06-30,59,14
Brett Young,Mercy,60,2018-06-30,60,7
The Weeknd & Kendrick Lamar,Pray For Me,7,2018-06-30,61,20
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-06-30,62,8
Blake Shelton,I Lived It,63,2018-06-30,63,16
Famous Dex,Japan,28,2018-06-30,64,13
BTS,Fake Love,10,2018-06-30,65,5
Charlie Puth Featuring Kehlani,Done For Me,53,2018-06-30,66,7
Kanye West,Yikes,8,2018-06-30,67,3
6ix9ine Featuring DJ SPINKING,TATI,46,2018-06-30,68,4
Nicky Jam x J Balvin,X,41,2018-06-30,69,16
Daddy Yankee,Dura,43,2018-06-30,70,20
J. Cole,KOD,10,2018-06-30,71,9
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,66,2018-06-30,72,9
The Weeknd,Call Out My Name,4,2018-06-30,73,12
Kygo & Imagine Dragons,Born To Be Yours,,2018-06-30,74,
Halsey Featuring Big Sean & Stefflon Don,Alone,70,2018-06-30,75,10
Lil Pump,Esskeetit,24,2018-06-30,76,10
The Carters,Boss,,2018-06-30,77,
Martin Garrix Featuring Khalid,Ocean,,2018-06-30,78,
A$AP Rocky Featuring Skepta,Praise The Lord,45,2018-06-30,79,4
XXXTENTACION,Hope,,2018-06-30,80,
Billie Eilish & Khalid,Lovely,78,2018-06-30,81,4
XXXTENTACION,Numb,82,2018-06-30,82,2
Rae Sremmurd & Juicy J,Powerglide,28,2018-06-30,83,16
The Carters,Summer,,2018-06-30,84,
Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,,2018-06-30,85,
Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,74,2018-06-30,86,5
"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party,78,2018-06-30,87,4
Dierks Bentley,"Woman, Amen",53,2018-06-30,88,11
El Chombo Featuring Cutty Ranks,Dame Tu Cosita,36,2018-06-30,89,9
YoungBoy Never Broke Again,Overdose,42,2018-06-30,90,8
KIDS SEE GHOSTS,Reborn,39,2018-06-30,91,2
Lil Skies Featuring Yung Pinch,I Know You,90,2018-06-30,92,2
Bad Wolves,Zombie,54,2018-06-30,93,15
Jake Owen,I Was Jack,86,2018-06-30,94,4
The Carters,Nice,,2018-06-30,95,
Nas Featuring Kanye West,Cop Shot The Kid,,2018-06-30,96,
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-06-30,97,9
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,74,2018-06-30,98,15
The Carters,Friends,,2018-06-30,99,
Queen Naija,Medicine,45,2018-06-30,100,3
Drake,Nice For What,1,2018-06-23,1,0
"Cardi B, Bad Bunny & J Balvin",I Like It,3,2018-06-23,3,10
Drake,God's Plan,1,2018-06-23,4,21
Maroon 5 Featuring Cardi B,Girls Like You,4,2018-06-23,5,3
Juice WRLD,Lucid Dreams,6,2018-06-23,6,5
Ella Mai,Boo'd Up,6,2018-06-23,7,11
"Zedd, Maren Morris & Grey",The Middle,5,2018-06-23,8,20
Ariana Grande,No Tears Left To Cry,3,2018-06-23,9,8
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-06-23,10,34
Lil Baby & Drake,Yes Indeed,6,2018-06-23,11,5
Childish Gambino,This Is America,1,2018-06-23,12,6
Marshmello & Anne,Friends,11,2018-06-23,13,18
Migos Featuring Drake,Walk It Talk It,10,2018-06-23,14,20
Bazzi,Mine,11,2018-06-23,15,21
Shawn Mendes,In My Blood,11,2018-06-23,16,13
Ed Sheeran,Perfect,1,2018-06-23,17,42
BlocBoy JB Featuring Drake,Look Alive,5,2018-06-23,18,18
Camila Cabello,Never Be The Same,6,2018-06-23,19,26
Post Malone,Better Now,7,2018-06-23,20,7
Imagine Dragons,Whatever It Takes,12,2018-06-23,21,20
Selena Gomez,Back To You,22,2018-06-23,22,5
Cardi B,Be Careful,11,2018-06-23,23,11
Post Malone Featuring 21 Savage,Rockstar,1,2018-06-23,24,39
Taylor Swift,Delicate,25,2018-06-23,25,14
Kane Brown,Heaven,15,2018-06-23,26,25
Camila Cabello Featuring Young Thug,Havana,1,2018-06-23,27,44
Drake,I'm Upset,19,2018-06-23,28,3
Maroon 5,Wait,24,2018-06-23,29,22
Calvin Harris & Dua Lipa,One Kiss,30,2018-06-23,30,10
Kanye West,All Mine,11,2018-06-23,31,2
Dan + Shay,Tequila,32,2018-06-23,32,14
Rich The Kid,Plug Walk,13,2018-06-23,33,18
Khalid & Normani,Love Lies,34,2018-06-23,34,17
Dua Lipa,New Rules,6,2018-06-23,35,46
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-06-23,36,8
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-06-23,37,13
Tyga Featuring Offset,Taste,38,2018-06-23,38,3
KIDS SEE GHOSTS,Reborn,,2018-06-23,39,
Kanye West,Yikes,8,2018-06-23,40,2
Juice WRLD,All Girls Are The Same,41,2018-06-23,41,5
KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension,,2018-06-23,42,
Li,Chun,10,2018-06-23,43,10
The Weeknd & Kendrick Lamar,Pray For Me,7,2018-06-23,44,19
Luke Combs,One Number Away,34,2018-06-23,45,13
Lauv,I Like Me Better,46,2018-06-23,46,18
KIDS SEE GHOSTS,Feel The Love,,2018-06-23,47,
Kenny Chesney,Get Along,48,2018-06-23,48,10
Morgan Wallen Featuring Florida Georgia Line,Up Down,49,2018-06-23,49,12
6ix9ine Featuring DJ SPINKING,TATI,46,2018-06-23,50,3
Dua Lipa,IDGAF,49,2018-06-23,51,22
XXXTENTACION,Sad!,7,2018-06-23,52,15
Dierks Bentley,"Woman, Amen",53,2018-06-23,53,10
The Weeknd,Call Out My Name,4,2018-06-23,54,11
Charlie Puth Featuring Kehlani,Done For Me,53,2018-06-23,55,6
Foster The People,Sit Next To Me,56,2018-06-23,56,13
Florida Georgia Line,Simple,55,2018-06-23,57,2
Nicky Jam x J Balvin,X,41,2018-06-23,58,15
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-06-23,59,7
Kanye West Featuring PARTYNEXTDOOR,Ghost Town,16,2018-06-23,60,2
Jason Aldean,You Make It Easy,28,2018-06-23,61,20
KIDS SEE GHOSTS,Freeee,,2018-06-23,62,
Brett Young,Mercy,63,2018-06-23,63,6
Daddy Yankee,Dura,43,2018-06-23,64,19
J. Cole,KOD,10,2018-06-23,65,8
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,66,2018-06-23,66,8
KIDS SEE GHOSTS,Fire,,2018-06-23,67,
Lil Pump,Esskeetit,24,2018-06-23,68,9
KIDS SEE GHOSTS,Cudi Montage,,2018-06-23,69,
A$AP Rocky Featuring Skepta,Praise The Lord,45,2018-06-23,70,3
BTS,Fake Love,10,2018-06-23,71,4
Famous Dex,Japan,28,2018-06-23,72,12
KIDS SEE GHOSTS,KIDS SEE GHOSTS,,2018-06-23,73,
Halsey Featuring Big Sean & Stefflon Don,Alone,70,2018-06-23,74,9
Rae Sremmurd & Juicy J,Powerglide,28,2018-06-23,75,15
Blake Shelton,I Lived It,64,2018-06-23,76,15
YoungBoy Never Broke Again,Overdose,42,2018-06-23,77,7
Billie Eilish & Khalid,Lovely,78,2018-06-23,78,3
5 Seconds Of Summer,Youngblood,79,2018-06-23,79,2
El Chombo Featuring Cutty Ranks,Dame Tu Cosita,36,2018-06-23,80,8
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-06-23,81,8
Bad Wolves,Zombie,54,2018-06-23,82,14
Reik Featuring Ozuna & Wisin,Me Niego,77,2018-06-23,83,2
Kane Brown,Lose It,,2018-06-23,84,
Kanye West,Violent Crimes,27,2018-06-23,85,2
Jake Owen,I Was Jack,86,2018-06-23,86,3
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,74,2018-06-23,87,14
Nicki Minaj Featuring Lil Wayne,Rich Sex,,2018-06-23,88,
Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,74,2018-06-23,89,4
Lil Skies Featuring Yung Pinch,I Know You,,2018-06-23,90,
Ozuna & Romeo Santos,El Farsante,49,2018-06-23,91,20
Kanye West Featuring PARTYNEXTDOOR,Wouldn't Leave,24,2018-06-23,92,2
Luke Combs,Beautiful Crazy,58,2018-06-23,93,4
Becky G + Natti Natasha,Sin Pijama,94,2018-06-23,94,2
Sugarland Featuring Taylor Swift,Babe,72,2018-06-23,95,2
Cardi B Featuring Migos,Drip,21,2018-06-23,96,10
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,66,2018-06-23,97,3
Jordan Davis,Singles You Up,50,2018-06-23,98,19
Chris Lane Featuring Tori Kelly,Take Back Home Girl,92,2018-06-23,99,3
"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party,78,2018-06-23,100,3
Post Malone Featuring Ty Dolla $ign,Psycho,1,2018-06-16,1,5
"Cardi B, Bad Bunny & J Balvin",I Like It,3,2018-06-16,3,9
Maroon 5 Featuring Cardi B,Girls Like You,4,2018-06-16,4,2
Drake,God's Plan,1,2018-06-16,5,20
Ella Mai,Boo'd Up,6,2018-06-16,6,10
Childish Gambino,This Is America,1,2018-06-16,7,5
Kanye West,Yikes,,2018-06-16,8,
Juice WRLD,Lucid Dreams,9,2018-06-16,9,4
"Zedd, Maren Morris & Grey",The Middle,5,2018-06-16,10,19
Kanye West,All Mine,,2018-06-16,11,
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-06-16,12,33
Ariana Grande,No Tears Left To Cry,3,2018-06-16,13,7
Marshmello & Anne,Friends,11,2018-06-16,14,17
Lil Baby & Drake,Yes Indeed,6,2018-06-16,15,4
Kanye West Featuring PARTYNEXTDOOR,Ghost Town,,2018-06-16,16,
Migos Featuring Drake,Walk It Talk It,10,2018-06-16,17,19
Camila Cabello,Never Be The Same,6,2018-06-16,18,25
BlocBoy JB Featuring Drake,Look Alive,5,2018-06-16,19,17
Shawn Mendes,In My Blood,11,2018-06-16,20,12
Ed Sheeran,Perfect,1,2018-06-16,21,41
Imagine Dragons,Whatever It Takes,12,2018-06-16,22,19
Bazzi,Mine,11,2018-06-16,23,20
Kanye West Featuring PARTYNEXTDOOR,Wouldn't Leave,,2018-06-16,24,
Cardi B,Be Careful,11,2018-06-16,25,10
Maroon 5,Wait,24,2018-06-16,26,21
Kanye West,Violent Crimes,,2018-06-16,27,
Kanye West,I Thought About Killing You,,2018-06-16,28,
Post Malone Featuring 21 Savage,Rockstar,1,2018-06-16,29,38
Kane Brown,Heaven,15,2018-06-16,30,24
Selena Gomez,Back To You,31,2018-06-16,31,4
Drake,I'm Upset,19,2018-06-16,32,2
Camila Cabello Featuring Young Thug,Havana,1,2018-06-16,33,43
Post Malone,Better Now,7,2018-06-16,34,6
Rich The Kid,Plug Walk,13,2018-06-16,35,17
Kanye West,No Mistakes,,2018-06-16,36,
Taylor Swift,Delicate,28,2018-06-16,37,13
Calvin Harris & Dua Lipa,One Kiss,32,2018-06-16,38,9
Lil Dicky Featuring Chris Brown,Freaky Friday,8,2018-06-16,39,12
Dua Lipa,New Rules,6,2018-06-16,40,45
Dan + Shay,Tequila,37,2018-06-16,41,13
Khalid & Normani,Love Lies,35,2018-06-16,42,16
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,36,2018-06-16,43,7
The Weeknd & Kendrick Lamar,Pray For Me,7,2018-06-16,44,18
Luke Combs,One Number Away,34,2018-06-16,45,12
Li,Chun,10,2018-06-16,46,9
6ix9ine Featuring DJ SPINKING,TATI,46,2018-06-16,47,2
BTS,Fake Love,10,2018-06-16,48,3
Juice WRLD,All Girls Are The Same,47,2018-06-16,49,4
Bruno Mars & Cardi B,Finesse,3,2018-06-16,50,23
XXXTENTACION,Sad!,7,2018-06-16,51,14
The Weeknd,Call Out My Name,4,2018-06-16,52,10
Lauv,I Like Me Better,53,2018-06-16,53,17
Dua Lipa,IDGAF,49,2018-06-16,54,21
Florida Georgia Line,Simple,,2018-06-16,55,
Kenny Chesney,Get Along,56,2018-06-16,56,9
Nicky Jam x J Balvin,X,41,2018-06-16,57,14
Morgan Wallen Featuring Florida Georgia Line,Up Down,54,2018-06-16,58,11
Tyga Featuring Offset,Taste,59,2018-06-16,59,2
J. Cole,KOD,10,2018-06-16,60,7
Charlie Puth Featuring Kehlani,Done For Me,53,2018-06-16,61,5
Jason Aldean,You Make It Easy,28,2018-06-16,62,19
Post Malone Featuring Nicki Minaj,Ball For Me,16,2018-06-16,63,6
Foster The People,Sit Next To Me,63,2018-06-16,64,12
Daddy Yankee,Dura,43,2018-06-16,65,18
Lil Pump,Esskeetit,24,2018-06-16,66,8
Rae Sremmurd & Juicy J,Powerglide,28,2018-06-16,67,14
Famous Dex,Japan,28,2018-06-16,68,11
Dierks Bentley,"Woman, Amen",67,2018-06-16,69,9
A$AP Rocky Featuring Skepta,Praise The Lord,45,2018-06-16,70,2
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,69,2018-06-16,71,7
YoungBoy Never Broke Again,Overdose,42,2018-06-16,72,6
Halsey Featuring Big Sean & Stefflon Don,Alone,70,2018-06-16,73,8
Brett Young,Mercy,71,2018-06-16,74,5
El Chombo Featuring Cutty Ranks,Dame Tu Cosita,36,2018-06-16,75,7
Blake Shelton,I Lived It,64,2018-06-16,76,14
Luke Combs,Beautiful Crazy,58,2018-06-16,77,3
"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party,78,2018-06-16,78,2
Billie Eilish & Khalid,Lovely,79,2018-06-16,79,2
"Khalid, Ty Dolla $ign & 6LACK",OTW,57,2018-06-16,80,7
Luke Combs,Must've Never Met You,,2018-06-16,81,
Bad Wolves,Zombie,54,2018-06-16,82,13
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,74,2018-06-16,83,13
Cardi B Featuring Migos,Drip,21,2018-06-16,84,9
Gorillaz Featuring George Benson,Humility,,2018-06-16,85,
Jake Owen,I Was Jack,86,2018-06-16,86,2
Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,16,2018-06-16,87,5
Post Malone,Rich & Sad,14,2018-06-16,88,6
Weezer,Africa,,2018-06-16,89,
Playboi Carti Featuring Lil Uzi Vert,Shoota,46,2018-06-16,90,4
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,66,2018-06-16,91,2
Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,74,2018-06-16,92,3
Lil Skies,Lust,87,2018-06-16,93,4
Post Malone,Paranoid,11,2018-06-16,94,6
Jordan Davis,Singles You Up,50,2018-06-16,95,18
5 Seconds Of Summer,Youngblood,,2018-06-16,96,
Ozuna & Romeo Santos,El Farsante,49,2018-06-16,97,19
Rich The Kid Featuring Kendrick Lamar,New Freezer,41,2018-06-16,98,19
Becky G + Natti Natasha,Sin Pijama,,2018-06-16,99,
Chris Lane Featuring Tori Kelly,Take Back Home Girl,92,2018-06-16,100,2
Drake,Nice For What,1,2018-06-09,1,8
Drake,God's Plan,1,2018-06-09,3,19
Childish Gambino,This Is America,1,2018-06-09,4,4
"Zedd, Maren Morris & Grey",The Middle,5,2018-06-09,5,18
Lil Baby & Drake,Yes Indeed,6,2018-06-09,6,3
"Cardi B, Bad Bunny & J Balvin",I Like It,7,2018-06-09,7,8
Ella Mai,Boo'd Up,8,2018-06-09,8,9
Bebe Rexha & Florida Georgia Line,Meant To Be,2,2018-06-09,9,32
Ariana Grande,No Tears Left To Cry,3,2018-06-09,10,6
Shawn Mendes,In My Blood,11,2018-06-09,11,11
BlocBoy JB Featuring Drake,Look Alive,5,2018-06-09,12,16
Marshmello & Anne,Friends,11,2018-06-09,13,16
Migos Featuring Drake,Walk It Talk It,10,2018-06-09,14,18
Juice WRLD,Lucid Dreams,15,2018-06-09,15,3
Camila Cabello,Never Be The Same,6,2018-06-09,16,24
Ed Sheeran,Perfect,1,2018-06-09,17,40
Imagine Dragons,Whatever It Takes,12,2018-06-09,18,18
Drake,I'm Upset,,2018-06-09,19,
Bazzi,Mine,11,2018-06-09,20,19
